&	ㅀ
x&S	䠈
x&l	䠱
x&m	㜹
x&n	ぁ
x&nd	㐅
x&r	㕃
x&rG	䔙
x&s	㐄
x&t	㦀
xE	㈙
xEN	䚗
xES	㌃
xEd	䙰
xEn	䜥
xEr	㍘
xErs	㝕
xErsi	䘖
xEt	䕆
xEy	䀴
xa	し
xaS	䠵
xab	㑦
xad	え
xak	㙙
xal	㉹
xali	㌹
xam	㎓
xan	ひ
xar	䍹
xas	㑕
xast	䀧
xat	䤹
xay	ㅙ
xaym	㕸
xayn	䙕
xaz	䤀
xe	ゖ
xel	䢓
xeli	䍓
xeloxob	䑙
xer	㝂
xi	㌢
xib	䤅
xir	䞁
xis	㐴
xit	䑸
xo	ぷ
xoS	ㄘ
xoSk	㝑
xob	〶
xod	㙐
xof	䊙
xolasE	䔘
xon	䊘
xor	さ
xord	㐱
xu	㄃
xuS	䥅
xub	㎗
xun	め
xund	㘢
xur	䘄
xurd	㌖
y&	㍗
y&S	㌷
y&d	ㅦ
y&l	㥀
y&m	㥹
y&n	䀸
y&ni	䘧
y&o	䜘
y&r	㔣
y&st	䑒
y&t	㉦
y&x	㚒
yE	〤
yE8	䊒
yES	㥒
yEb	䌂
yEd&fE	䝤
yEk	〲
yEkiS	䡗
yEl	䡣
yEm	䞑
yEn	䤢
yEst	䢂
ya	ㄈ
ya8	䕓
yaG	䈣
yaS	㐸
yab	䝶
yad	㉆
yadEtE	㕐
yaf	䕕
yah	䍕
yal	䔶
yam	㉂
yan	㍷
yar	㆐
yast	㑔
yat	㥶
yax	㜳
yay	㌡
yaym	䒒
yaz	㐰
ye	䠒
yi	㆕
yiS	㞔
yid	㕩
yim	䌦
yin	㊓
yist	䞗
yit	䂔
yo	㊕
yof	㉶
yoft	䜃
yon	䙔
yu	㜀
yum	䖙
yun	䝖
yux	㡕
yuxt	㡖
yuz	䁙
z&	ㄥ
z&N	㑱
z&S	ㅓ
z&St	㙕
z&b	㡴
z&bt	㑘
z&d	㘙
z&dE	䘳
z&g	䈄
z&h	䍨
z&k	㕤
z&m	㑶
z&n	㊖
z&nd	䦔
z&r	㖑
z&rb	䞃
z&rd	㍨
z&rf	䙀
z&s	䊆
z&st	ㄙ
z&t	㡵
z&x	㕱
z&xm	䅸
z&z	䆁
zE	ㄕ
zES	ㄧ
zESt	䑴
zEb	㝒
zEd	䦕
zEh	䙵
zEl	㔰
zEm	㞇
zEmn	䠘
zEn	を
zEndegiyE	䕇
zEr	㔧
zEt	㚄
za	㎇
zaS	っ
zaSt	㖔
zab	䔗
zad	㦁
zal	䠧
zam	䒔
zan	㦂
zar	〠
zast	䌔
zat	㠱
zb&s	㘑
ze	䉉
zi	ㄵ
ziN	䖗
ziS	㕠
zid	䕨
zig	䆕
zih	䐑
zil	䄰
zim	㍓
zin	䖐
zir	䄇
zist	䙶
zit	㤅
ziz	䀆
zo	㝉
zo8	䠣
zoh	㤒
zohr	㡥
zok	䊁
zor	㌙
zorg	㈈
zorh	䒄
zu	㖅
zud	ㆀ
zun	㙂
zund	䕀
zur	䆈
zut	䒁
