!	!
#	#
$Bito	$/Bi/to
serle	ser/le
serlo	ser/lo
se|or	se/|/or
se|ora	se/|/o/ra
si	si
siGo	si/Go
siNko	siN/ko
sii	si/i
sijitas	si/ji/tas
sin	sin
sino	si/no
sir$la	si/r$/la
sirBe	sir/Be
sirBee	sir/Be/e
so	so
sola	so/la
solita	so/li/ta
solitaa	so/li/ta/a
son	son
sonaxa	so/na/xa
sonaxita	so/na/xi/ta
sonrisa	son/ri/sa
soo	so/o
sopa	so/pa
sopaa	so/pa/a
sopita	so/pi/ta
sopitaa	so/pi/ta/a
sorpresa	sor/pre/sa
sorpresita	sor/pre/si/ta
sos	sos
spantes	spa/ntes
sperame	spe/ra/me
sperate	spe/ra/te
sposa	spo/sa
st*	st*
st+	st+
st-	st-
st3	st3
sta	sta
staBa	sta/Ba
staa	sta/a
stala	sta/la
stamos	sta/mos
stan	stan
stara	sta/ra
staraa	sta/ra/a
stas	stas
ste	ste
stee	ste/e
sto	sto
storBa	stor/Ba
stos	stos
su	su
suBanse	su/Ban/se
suBas	su/Bas
suBimos	su/Bi/mos
sukarera	su/ka/re/ra
sul*	su/l*
sul*ma	su/l*/ma
suli	su/li
sus	sus
suu	su/u
t!	t!
t#	t#
t#ne	t#/ne
t#nee	t#/ne/e
t#nes	t#/nes
t$	t$
t&	t&
t*	t*
tRun	tRun
ta	ta
taBlitas	ta/Bli/tas
taja	ta/ja
tamar	ta/mar
tamb#n	tam/b#n
tambor	tam/bor
tan	tan
tantito	ta/nti/to
tapaDera	ta/pa/De/ra
tapalo	ta/pa/lo
tapalos	ta/pa/los
tapita	ta/pi/ta
tapitas	ta/pi/tas
tapititita	ta/pi/ti/ti/ta
tasa	ta/sa
tasas	ta/sas
tasit-	ta/si/t-
tasita	ta/si/ta
tasitaa	ta/si/ta/a
tasitas	ta/si/tas
tataRatata	ta/ta/Ra/ta/ta
te	te
teNgo	teN/go
teNgoo	teN/go/o
teNgu	teN/gu
tee	te/e
ten	ten
tendra	tend/ra
tendraa	tend/ra/a
tenemos	te/ne/mos
tenia	te/ni/a
tenlo	ten/lo
tere	te/re
teresita	te/re/si/ta
terminamos	te/rmi/na/mos
terminando	te/rmi/na/ndo
tet-	te/t-
teta	te/ta
tetaa	te/ta/a
tetita	te/ti/ta
ti	ti
tirala	ti/ra/la
tirando	ti/ra/ndo
tiraste	ti/ra/ste
tires	ti/res
tla	tla
toDa	to/Da
toDas	to/Das
toDitos	to/Di/tos
toDo	to/Do
toDos	to/Dos
toR*	to/R*
toRe	to/Re
toRee	to/Re/e
toRes	to/Res
toResita	to/Re/si/ta
toka	to/ka
tokaa	to/ka/a
tokar	to/kar
tom+	to/m+
tom-	to/m-
toma	to/ma
tomaa	to/ma/a
tomala	to/ma/la
tomale	to/ma/le
tomando	to/ma/ndo
tomandoo	to/ma/ndo/o
tomar	to/mar
tomate	to/ma/te
tomatela	to/ma/te/la
tome	to/me
tortija	tor/ti/ja
tortijaa	tor/ti/ja/a
tos	tos
tota	to/ta
totaa	to/ta/a
tr-Go	tr-/Go
tr-telo	tr-/te/lo
tra	tra
traB#so	tra/B#/so
traGona	tra/Go/na
traemos	tra/e/mos
traen	tra/en
traetee	tra/e/te/e
tras	tras
traxeron	tra/xe/ron
traximos	tra/xi/mos
tres	tres
trisiklo	tri/si/klo
triste	tri/ste
tro	tro
trompita	trom/pi/ta
tros	tros
trunR	trunR
tsi	tsi
tu	tu
tujo	tu/jo
tujos	tu/jos
tuk	tuk
tus	tus
u	u
uBa	u/Ba
uBas	u/Bas
um	um
un	un
un+	u/n+
un-	u/n-
un3	u/n3
una	u/na
unaa	u/na/a
uno	u/no
unos	u/nos
unu	u/nu
upa	u/pa
x$Ga	x$/Ga
x$Gas	x$/Gas
x$Ge	x$/Ge
x$Gitos	x$/Gi/tos
x$Go	x$/Go
x$Gos	x$/Gos
x+	x+
xa	xa
xaRit-	xa/Ri/t-
xaRitaa	xa/Ri/ta/a
xaRitos	xa/Ri/tos
xalar	xa/lar
xiramos	xi/ra/mos
xita	xi/ta
xitomat*	xi/to/ma/t*
xitomate	xi/to/ma/te
xitomatee	xi/to/ma/te/e
xo	xo
xorxe	xor/xe
xorxee	xor/xe/e
xuGamos	xu/Ga/mos
xuGando	xu/Ga/ndo
xuGar	xu/Gar
xuGara	xu/Ga/ra
xuGen	xu/Gen
xuGetes	xu/Ge/tes
xuGetitos	xu/Ge/ti/tos
xunto	xu/nto
zRael	zRa/el
zle	zle
|%	|/%
|a	|/a
|aa	|/a/a
|an	|/an
